0, 0
400, 0
500, 0
1000, 0
1200, 0
1300, 0
1600, 0
2300, 0
200, 96
700, 96
800, 96
900, 96
1000, 96
1200, 96
1500, 96
2200, 96
200, 192
500, 192
700, 192
900, 192
1000, 192
1200, 192
1500, 192
1700, 192
2000, 192
100, 288
400, 288
1000, 288
2000, 288
2200, 288
600, 384
900, 384
1200, 384
1500, 384
1700, 384
1900, 384
2000, 384
400, 480
800, 480
1200, 480
2200, 480
0, 576
400, 576
800, 576
1400, 576
2000, 576
200, 672
700, 672
1600, 672
1800, 672
2000, 672
2200, 672
0, 768
100, 768
200, 768
400, 768
600, 768
700, 768
1000, 768
1500, 768
1800, 768
2200, 768
0, 864
900, 864
1000, 864
1300, 864
1400, 864
1500, 864
1700, 864
2000, 864
2200, 864
400, 960
600, 960
700, 960
1200, 960
1300, 960
1400, 960
2000, 960
2200, 960
400, 1056
600, 1056
700, 1056
1700, 1056
1800, 1056
1900, 1056
2000, 1056
200, 1152
300, 1152
600, 1152
700, 1152
900, 1152
1200, 1152
1500, 1152
1600, 1152
1900, 1152
2000, 1152
